Source,Target,Weight,Season
BROOME,SYDNEY,364896137,3
BUNDABERG,BRISBANE,364896137,3
CAIRNS,ADELAIDE,364896137,3
CAIRNS,ALICE SPRINGS,364896137,3
CAIRNS,BRISBANE,364896137,3
CAIRNS,DARWIN,364896137,3
CAIRNS,GOLD COAST,364896137,3
CAIRNS,GOVE,364896137,3
CAIRNS,HAMILTON ISLAND,364896137,3
CAIRNS,HORN ISLAND,364896137,3
CAIRNS,MELBOURNE,364896137,3
CAIRNS,PERTH,364896137,3
CAIRNS,SYDNEY,364896137,3
CAIRNS,TOWNSVILLE,364896137,3
CAIRNS,WEIPA,364896137,3
CAIRNS,AYERS ROCK,364896137,3
CANBERRA,ADELAIDE,364896137,3
CANBERRA,BRISBANE,364896137,3
CANBERRA,MELBOURNE,364896137,3
CANBERRA,PERTH,364896137,3
CANBERRA,SYDNEY,364896137,3
CHARLEVILLE,BRISBANE,364896137,3
CHARLEVILLE,ROMA,364896137,3
CHRISTCHURCH,AUCKLAND,364896137,3
CHRISTCHURCH,BRISBANE,364896137,3
CHRISTCHURCH,DUNEDIN,364896137,3
CHRISTCHURCH,GOLD COAST,364896137,3
CHRISTCHURCH,MELBOURNE,364896137,3
CHRISTCHURCH,NAPIER,364896137,3
CHRISTCHURCH,NELSON,364896137,3
CHRISTCHURCH,NEW PLYMOUTH,364896137,3
CHRISTCHURCH,PALMERSTON NORTH,364896137,3
CHRISTCHURCH,QUEENSTOWN,364896137,3
CHRISTCHURCH,ROTORUA,364896137,3
CHRISTCHURCH,SYDNEY,364896137,3
CHRISTCHURCH,TAURANGA,364896137,3
CHRISTCHURCH,WELLINGTON,364896137,3
CLONCURRY,MOUNT ISA,364896137,3
CLONCURRY,TOWNSVILLE,364896137,3
COFFS HARBOUR,SYDNEY,364896137,3
DARWIN,ADELAIDE,364896137,3
DARWIN,ALICE SPRINGS,364896137,3
DARWIN,BRISBANE,364896137,3
DARWIN,BROOME,364896137,
DARWIN,CAIRNS,364896137,3
DARWIN,GOVE,364896137,3
DARWIN,KUNUNURRA,364896137,3
DARWIN,MELBOURNE,364896137,3
DARWIN,MOUNT ISA,364896137,3
DARWIN,PERTH,364896137,3
DARWIN,SYDNEY,364896137,3
DARWIN,TOWNSVILLE,364896137,3
DEVONPORT,MELBOURNE,364896137,3
DUBBO,SYDNEY,364896137,3
DUNEDIN,AUCKLAND,364896137,3
DUNEDIN,CHRISTCHURCH,364896137,3
DUNEDIN,WELLINGTON,364896137,3
EMERALD,BRISBANE,364896137,3
EXMOUTH,PERTH,364896137,3
FRASER COAST,BRISBANE,364896137,3
GERALDTON,PERTH,364896137,3
GISBORNE,AUCKLAND,364896137,3
GISBORNE,WELLINGTON,364896137,3
GLADSTONE,BRISBANE,364896137,3
GLADSTONE,ROCKHAMPTON,364896137,3
GOLD COAST,ADELAIDE,364896137,3
GOLD COAST,AUCKLAND,364896137,3
GOLD COAST,CAIRNS,364896137,3
GOLD COAST,CHRISTCHURCH,364896137,3
GOLD COAST,MELBOURNE,364896137,3
GOLD COAST,NEWCASTLE,364896137,3
GOLD COAST,QUEENSTOWN,364896137,3
GOLD COAST,SYDNEY,364896137,3
GOLD COAST,WELLINGTON,364896137,3
GOVE,CAIRNS,364896137,3
GOVE,DARWIN,364896137,3
HAMILTON ISLAND,BRISBANE,364896137,3
HAMILTON ISLAND,CAIRNS,364896137,3
HAMILTON ISLAND,MELBOURNE,364896137,3
HAMILTON ISLAND,SYDNEY,364896137,3
HOBART,MELBOURNE,364896137,3
HOBART,SYDNEY,3,3
HORN ISLAND,CAIRNS,364896137,3
HORN ISLAND,CAIRNS,364896137,3
KALGOORLIE,PERTH,364896137,3
KARRATHA,PERTH,364896137,3
KERIKERI,AUCKLAND,364896137,3
KUNUNURRA,BROOME,364896137,3
KUNUNURRA,DARWIN,364896137,3
LAUNCESTON,BRISBANE,364896137,3
LAUNCESTON,MELBOURNE,364896137,3
LAUNCESTON,SYDNEY,364896137,3
LONGREACH,BRISBANE,364896137,3
LORD HOWE ISLAND,BRISBANE,364896137,3
LORD HOWE ISLAND,PORT MACQUARIE,364896137,3
LORD HOWE ISLAND,SYDNEY,364896137,3
MACKAY,BRISBANE,364896137,3
MACKAY,ROCKHAMPTON,364896137,3
MACKAY,TOWNSVILLE,364896137,3
MELBOURNE,ADELAIDE,364896137,3
MELBOURNE,ALICE SPRINGS,364896137,3
MELBOURNE,AUCKLAND,364896137,3
MELBOURNE,BRISBANE,364896137,3
MELBOURNE,BROOME,364896137,3
MELBOURNE,CAIRNS,364896137,3
MELBOURNE,CANBERRA,364896137,3
MELBOURNE,CHRISTCHURCH,364896137,3
MELBOURNE,DARWIN,364896137,3
MELBOURNE,DEVONPORT,364896137,3
MELBOURNE,GOLD COAST,364896137,3
MELBOURNE,HAMILTON ISLAND,364896137,3
MELBOURNE,HOBART,364896137,3
MELBOURNE,LAUNCESTON,364896137,3
MELBOURNE,MILDURA,364896137,3
MELBOURNE,NEWCASTLE,364896137,3
MELBOURNE,PERTH,364896137,3
MELBOURNE,QUEENSTOWN,364896137,3
MELBOURNE,SUNSHINE COAST,364896137,3
MELBOURNE,SYDNEY,364896137,3
MELBOURNE,TOWNSVILLE,364896137,3
MELBOURNE,ULURU,364896137,3
MELBOURNE,WELLINGTON,364896137,3
MILDURA,MELBOURNE,364896137,3
MILDURA,SYDNEY,364896137,3
MORANBAH,BRISBANE,364896137,3
MORANBAH,TOWNSVILLE,364896137,3
MOREE,SYDNEY,364896137,3
MOUNT ISA,BRISBANE,364896137,3
MOUNT ISA,CLONCURRY,364896137,3
MOUNT ISA,DARWIN,364896137,3
MOUNT ISA,TOWNSVILLE,364896137,3
NAPIER,AUCKLAND,364896137,3
NAPIER,CHRISTCHURCH,364896137,3
NAPIER,WELLINGTON,364896137,3
NELSON,AUCKLAND,364896137,3
NELSON,CHRISTCHURCH,364896137,3
NELSON,WELLINGTON,364896137,3
NEWCASTLE,BRISBANE,364896137,3
NEWCASTLE,GOLD COAST,364896137,3
NEWCASTLE,MELBOURNE,364896137,3
NEW PLYMOUTH,AUCKLAND,364896137,3
NEW PLYMOUTH,CHRISTCHURCH,364896137,3
NEW PLYMOUTH,WELLINGTON,364896137,3
NEWMAN,PERTH,364896137,3
ORANGE,SYDNEY,364896137,3
PALMERSTON NORTH,AUCKLAND,364896137,3
PALMERSTON NORTH,CHRISTCHURCH,364896137,3
PALMERSTON NORTH,WELLINGTON,364896137,3
PARABURDOO,PERTH,364896137,3
PERTH,ADELAIDE,364896137,3
PERTH,ALICE SPRINGS,364896137,3
PERTH,BRISBANE,364896137,3
PERTH,BROOME,364896137,3
PERTH,CAIRNS,364896137,3
PERTH,CANBERRA,364896137,3
PERTH,DARWIN,364896137,3
PERTH,EXMOUTH,364896137,3
PERTH,GERALDTON,364896137,3
PERTH,KALGOORLIE,364896137,3
PERTH,KARRATHA,364896137,3
PERTH,MELBOURNE,364896137,3
PERTH,NEWMAN,364896137,3
PERTH,PARABURDOO,364896137,3
PERTH,PORT HEDLAND,364896137,3
PERTH,SYDNEY,364896137,3
PORT HEDLAND,BRISBANE,364896137,3
PORT HEDLAND,PERTH,364896137,3
PORT LINCOLN,ADELAIDE,364896137,3
PORT MACQUARIE,LORD HOWE ISLAND,364896137,3
PORT MACQUARIE,SYDNEY,364896137,3
PROSERPINE,BRISBANE,364896137,3
QUEENSTOWN,AUCKLAND,364896137,3
QUEENSTOWN,BRISBANE,364896137,3
QUEENSTOWN,CHRISTCHURCH,364896137,3
QUEENSTOWN,GOLD COAST,364896137,3
QUEENSTOWN,MELBOURNE,364896137,3
QUEENSTOWN,SYDNEY,364896137,3
QUEENSTOWN,WELLINGTON,364896137,3
ROCKHAMPTON,BRISBANE,364896137,3
ROCKHAMPTON,GLADSTONE,364896137,3
ROCKHAMPTON,MACKAY,364896137,3
ROTORUA,AUCKLAND,364896137,3
ROTORUA,CHRISTCHURCH,364896137,3
ROTORUA,WELLINGTON,364896137,3
ROMA,BRISBANE,364896137,3
ROMA,CHARLEVILLE,364896137,3
SUNSHINE COAST,MELBOURNE,364896137,3
SUNSHINE COAST,SYDNEY,364896137,3
SYDNEY,ADELAIDE,364896137,3
SYDNEY,ALBURY,364896137,3
SYDNEY,ALICE SPRINGS,364896137,3
SYDNEY,ARMIDALE,364896137,3
SYDNEY,AUCKLAND,364896137,3
SYDNEY,AVALON,364896137,3
SYDNEY,BALLINA,364896137,3
SYDNEY,BRISBANE,364896137,3
SYDNEY,BENDIGO,364896137,3
SYDNEY,BROOME,364896137,3
SYDNEY,CAIRNS,364896137,3
SYDNEY,CHRISTCHURCH,364896137,3
SYDNEY,CANBERRA,364896137,3
SYDNEY,COFFS HARBOUR,364896137,3
SYDNEY,DARWIN,364896137,3
SYDNEY,DUBBO,364896137,3
SYDNEY,GOLD COAST,364896137,3
SYDNEY,HAMILTON ISLAND,364896137,3
SYDNEY,HOBART,364896137,3
SYDNEY,LAUNCESTON,364896137,3
SYDNEY,LORD HOWE ISLAND,364896137,3
SYDNEY,MELBOURNE,364896137,3
SYDNEY,MILDURA,364896137,3
SYDNEY,MOREE,364896137,3
SYDNEY,ORANGE,364896137,3
SYDNEY,PERTH,364896137,3
SYDNEY,PORT MACQUARIE,364896137,3
SYDNEY,QUEENSTOWN,364896137,3
SYDNEY,SUNSHINE COAST,364896137,3
SYDNEY,TAMWORTH,364896137,3
SYDNEY,TOOWOOMBA,364896137,3
SYDNEY,TOWNSVILLE,364896137,3
SYDNEY,ULURU,364896137,3
SYDNEY,WAGGA WAGGA,364896137,3
SYDNEY,WELLINGTON,364896137,3
TAMWORTH,BRISBANE,364896137,3
TAMWORTH,SYDNEY,364896137,3
TAURANGA,AUCKLAND,364896137,3
TAURANGA,CHRISTCHURCH,364896137,3
TAURANGA,WELLINGTON,364896137,3
TOOWOOMBA,SYDNEY,364896137,3
TOWNSVILLE,BRISBANE,364896137,3
TOWNSVILLE,CAIRNS,364896137,3
TOWNSVILLE,CLONCURRY,364896137,3
TOWNSVILLE,DARWIN,364896137,3
TOWNSVILLE,MACKAY,364896137,3
TOWNSVILLE,MELBOURNE,364896137,3
TOWNSVILLE,MORANBAH,364896137,3
TOWNSVILLE,MOUNT ISA,364896137,3
TOWNSVILLE,SYDNEY,364896137,3
ULURU,ALICE SPRINGS,364896137,3
ULURU,CAIRNS,364896137,3
ULURU,MELBOURNE,364896137,3
ULURU,SYDNEY,364896137,3
WAGGA WAGGA,SYDNEY,364896137,3
WELLINGTON,AUCKLAND,364896137,3
WELLINGTON,BLENHEIM,364896137,3
WELLINGTON,CHRISTCHURCH,364896137,3
WELLINGTON,DUNEDIN,364896137,3
WELLINGTON,GOLD COAST,364896137,3
WELLINGTON,GISBORNE,364896137,3
WELLINGTON,MELBOURNE,364896137,3
WELLINGTON,NAPIER,364896137,3
WELLINGTON,NELSON,364896137,3
WELLINGTON,NEW PLYMOUTH,364896137,3
WELLINGTON,PALMERSTON NORTH,364896137,3
WELLINGTON,QUEENSTOWN,364896137,3
WELLINGTON,ROTORUA,364896137,3
WELLINGTON,SYDNEY,364896137,3
WELLINGTON,TAURANGA,364896137,3
WEIPA,CAIRNS,364896137,3
WHYALLA,ADELAIDE,364896137,3
ADELAIDE,KANGAROO,3,3
KANGAROO,ADELAIDE,3,3
KANGAROO,MELBOURNE,3,3
MELBOURNE,KANGAROO,3,3
LONDON,PERTH,3,3
LONDON,SINGAPORE,3,3
PERTH,LONDON,3,3
SINGAPORE,LONDON,3,3
JOHANNESBURG,MELBOURNE,3,3
MELBOURNE,JOHANNESBURG,3,3
BANGKOK,SYDNEY,3,3
SYDNEY,BANGKOK,3,3
SINGAPORE,BRISBANE,3,3
SINGAPORE,PERTH,3,3
SINGAPORE,MELBOURNE,3,3
SINGAPORE,ADELAIDE,3,3
SINGAPORE,SYDNEY,3,3
BRISBANE,SINGAPORE,3,3
PERTH,SINGAPORE,3,3
MELBOURNE,SINGAPORE,3,3
ADELAIDE,SINGAPORE,3,3
SYDNEY,SINGAPORE,3,3
JAKARTA,SYDNEY,3,3
SYDNEY,JAKARTA,3,3
MANILA,SYDNEY,3,3
SYDNEY,MANILA,3,3
HONG KONG,BRISBANE,3,3
HONG KONG,SYDNEY,3,3
HONG KONG,MELBOURNE,3,3
BRISBANE,HONG KONG,3,3
SYDNEY,HONG KONG,3,3
MELBOURNE,HONG KONG,3,3
SAPPORO,SYDNEY,3,3
SYDNEY,SAPPORO,3,3
SANTIAGO DE CHILE,SYDNEY,3,3
SYDNEY,SANTIAGO DE CHILE,3,3
SAN FRANCISCO,BRISBANE,3,3
SAN FRANCISCO,SYDNEY,3,3
SAN FRANCISCO,MELBOURNE,3,3
BRISBANE,SAN FRANCISCO,3,3
SYDNEY,SAN FRANCISCO,3,3
MELBOURNE,SAN FRANCISCO,3,3
VANCOUVER,SYDNEY,3,3
SYDNEY,VANCOUVER,3,3
DALLAS-FORT WORTH,SYDNEY,3,3
SYDNEY,DALLAS-FORT WORTH,3,3
CHICAGO,BRISBANE,3,3
BRISBANE,CHICAGO,3,3
LOS ANGELES,NEW YORK CITY ,3,3
LOS ANGELES,BRISBANE,3,3
LOS ANGELES,SYDNEY,3,3
LOS ANGELES,MELBOURNE,3,3
BRISBANE,LOS ANGELES,3,3
SYDNEY,LOS ANGELES,3,3
MELBOURNE,LOS ANGELES,3,3
SHANGHAI,SYDNEY,3,3
SYDNEY,SHANGHAI,3,3
